Date,1.0 (iOS),1.0.0 (Android),1.1.0 (iOS),1.2.0 (Android),1.2.0 (iOS),1.3.0 (iOS),1.4.0 (iOS),Other
2018-03-21,26,0,0,0,0,0,0,0
2018-03-22,1,0,0,0,0,0,0,0
2018-03-23,12,9,0,0,0,0,0,0
2018-03-24,1,0,0,0,0,0,0,0
2018-03-26,0,36,0,0,0,0,0,0
2018-03-27,14,73,0,0,0,0,0,0
2018-03-28,154,107,0,0,0,0,0,0
2018-03-29,463,171,0,0,0,0,0,0
2018-03-30,2467,1195,0,0,0,0,0,0
2018-03-31,6015,2424,2,0,1,0,0,0
2018-04-01,3722,1428,2,0,0,0,0,0
2018-04-02,4164,1740,2,0,0,0,0,0
2018-04-03,5128,2179,1,0,0,0,0,0
2018-04-04,3960,1638,1,0,0,0,0,8
2018-04-05,3650,1396,0,0,0,0,0,3
2018-04-06,3463,1340,2,0,0,0,0,1
2018-04-07,3167,1296,5,0,0,0,0,1
2018-04-08,2900,1104,4,0,3,0,0,5
2018-04-09,3398,1338,2,0,1,0,0,9
2018-04-10,2643,1029,1107,0,2,1,0,643
2018-04-11,767,434,2618,0,4,0,0,882
2018-04-12,96,63,680,0,2,0,0,189
2018-04-13,0,1,5,0,13,2,0,0
2018-04-14,0,0,0,0,0,2,0,0
2018-04-15,0,0,5,0,0,0,0,0
2018-04-16,2,0,4,0,3,2,0,8
2018-04-17,1,0,28,0,3,0,0,6
2018-04-18,18,5,248,0,2,0,0,128
2018-04-19,194,99,2594,0,6,7,0,918
2018-04-20,141,48,2539,29,11,0,0,845
2018-04-21,161,42,2348,337,3,0,0,530
2018-04-22,149,60,2191,447,11,3,0,250
2018-04-23,160,37,2376,597,21,2,0,252
2018-04-24,116,36,2271,738,139,4,0,201
2018-04-25,152,31,1270,960,1722,9,0,151
2018-04-26,110,28,347,1042,2530,1,0,133
2018-04-27,123,21,194,955,2383,6,0,53
2018-04-28,77,16,113,899,2445,3,0,36
2018-04-29,94,21,116,726,2118,13,0,37
2018-04-30,82,8,142,915,2312,17,0,40
2018-05-01,95,17,94,897,2279,1,0,43
2018-05-02,67,25,81,807,2231,2,0,26
2018-05-03,66,9,73,902,2193,10,0,36
2018-05-04,54,6,52,784,2134,10,0,21
2018-05-05,71,4,73,790,2057,1,0,22
2018-05-06,70,4,147,703,1954,14,0,9
2018-05-07,82,7,45,877,2172,16,0,15
2018-05-08,105,481,60,770,2083,176,1,15
2018-05-09,96,9,35,654,803,1317,1,40
2018-05-10,0,2,1,0,2,28,13,27
2018-05-11,4,30,13,86,43,532,0,187
2018-05-12,47,20,36,194,140,1991,8,635
2018-05-13,40,15,21,134,125,1923,2,564
2018-05-14,95,8,29,177,122,2149,3,799
2018-05-15,88,12,286,125,122,2045,5,741
2018-05-16,113,13,37,62,90,2106,5,686
2018-05-17,109,8,27,44,97,1927,1,813
2018-05-18,97,1,22,59,78,1853,4,554
2018-05-19,58,0,19,34,66,1925,6,603
2018-05-20,36,0,26,36,55,1752,8,660
2018-05-21,46,2,14,29,77,2059,2,662
2018-05-22,36,0,29,41,56,1917,9,677
2018-05-23,35,0,17,44,54,1949,7,705
2018-05-24,27,2,21,21,31,1679,22,697
2018-05-25,26,4,13,22,56,1742,139,692
2018-05-26,28,1,27,28,58,981,911,636
2018-05-27,31,3,7,27,25,325,1452,564
2018-05-28,77,2,25,42,51,229,1507,632
2018-05-29,133,3,15,16,40,193,1670,726
2018-05-30,80,3,12,15,32,123,1887,805
2018-05-31,28,14,21,62,24,134,1766,973
2018-06-01,20,6,23,16,32,74,1959,890
2018-06-02,54,12,21,0,29,73,1791,754
2018-06-03,31,1,11,6,21,64,1777,710
2018-06-04,51,5,18,30,15,59,2048,865
2018-06-05,97,1,13,13,27,41,1948,838
2018-06-06,100,2,11,5,35,41,1901,790
2018-06-07,101,4,20,12,17,47,1978,760
2018-06-08,21,8,7,22,15,46,1679,653
2018-06-09,7,5,1,2,21,43,1710,678
2018-06-10,18,7,0,10,10,40,1506,566
2018-06-11,47,8,2,10,18,32,1931,673
2018-06-12,195,4,2,3,9,30,1794,652
2018-06-13,116,3,1,11,14,42,1883,796
2018-06-14,127,8,3,8,7,33,1935,753
2018-06-15,55,7,14,10,10,35,1892,782
2018-06-16,14,6,6,7,18,42,1684,712
2018-06-17,21,1,7,3,15,19,1679,640
2018-06-18,25,4,3,5,11,27,1385,573
2018-06-19,116,0,3,5,9,25,363,305
2018-06-20,107,0,2,20,18,20,175,207
2018-06-21,102,3,4,7,27,31,223,161
2018-06-22,14,8,2,5,13,9,140,91
2018-06-23,10,6,2,6,7,11,106,68
2018-06-24,15,4,6,0,15,15,124,92
2018-06-25,43,1,12,9,39,13,118,110
2018-06-26,124,1,16,1,17,17,121,57
2018-06-27,81,5,8,4,33,11,121,71
2018-06-28,91,1,10,13,25,13,103,47
2018-06-29,15,0,3,3,16,9,97,41
2018-06-30,10,2,4,0,2,21,119,27
2018-07-01,11,7,1,2,3,13,77,30
2018-07-02,15,3,2,5,8,15,80,29
2018-07-03,23,1,3,1,8,15,61,33
2018-07-04,17,1,9,2,11,11,55,24
2018-07-05,17,2,1,0,8,9,61,12
2018-07-06,17,1,3,0,12,14,80,24
2018-07-07,14,2,1,3,6,2,53,18
2018-07-08,9,5,1,0,6,7,64,7
2018-07-09,10,0,2,0,20,8,60,19
