Date,Launches
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,0
2018-03-21,26
2018-03-22,1
2018-03-23,21
2018-03-24,1
2018-03-25,0
2018-03-26,36
2018-03-27,87
2018-03-28,261
2018-03-29,634
2018-03-30,3662
2018-03-31,8442
2018-04-01,5152
2018-04-02,5906
2018-04-03,7308
2018-04-04,5607
2018-04-05,5049
2018-04-06,4806
2018-04-07,4469
2018-04-08,4016
2018-04-09,4748
2018-04-10,5425
2018-04-11,4705
2018-04-12,1030
2018-04-13,21
2018-04-14,2
2018-04-15,5
2018-04-16,19
2018-04-17,38
2018-04-18,401
2018-04-19,3818
2018-04-20,3613
2018-04-21,3421
2018-04-22,3111
2018-04-23,3445
2018-04-24,3505
2018-04-25,4295
2018-04-26,4191
2018-04-27,3735
2018-04-28,3589
2018-04-29,3125
2018-04-30,3516
2018-05-01,3426
2018-05-02,3239
2018-05-03,3289
2018-05-04,3061
2018-05-05,3018
2018-05-06,2901
2018-05-07,3214
2018-05-08,3691
2018-05-09,2955
2018-05-10,73
2018-05-11,895
2018-05-12,3071
2018-05-13,2824
2018-05-14,3382
2018-05-15,3424
2018-05-16,3112
2018-05-17,3026
2018-05-18,2668
2018-05-19,2711
2018-05-20,2573
2018-05-21,2891
2018-05-22,2765
2018-05-23,2811
2018-05-24,2500
2018-05-25,2694
2018-05-26,2670
2018-05-27,2434
2018-05-28,2565
2018-05-29,2796
2018-05-30,2957
2018-05-31,3022
2018-06-01,3020
2018-06-02,2734
2018-06-03,2621
2018-06-04,3091
2018-06-05,2978
2018-06-06,2885
2018-06-07,2939
2018-06-08,2451
2018-06-09,2467
2018-06-10,2157
2018-06-11,2721
2018-06-12,2689
2018-06-13,2866
2018-06-14,2874
2018-06-15,2805
2018-06-16,2489
2018-06-17,2385
2018-06-18,2033
2018-06-19,826
2018-06-20,549
2018-06-21,558
2018-06-22,282
2018-06-23,216
2018-06-24,271
2018-06-25,345
2018-06-26,354
2018-06-27,334
2018-06-28,303
2018-06-29,184
2018-06-30,185
2018-07-01,144
2018-07-02,157
2018-07-03,145
2018-07-04,130
2018-07-05,110
2018-07-06,151
2018-07-07,99
2018-07-08,99
2018-07-09,119
